date,city_name,product_id,product_name,category,total_orders,total_sales,stock_quantity,instock_darkstores,OOS_darkstores,total_darkstores
9/5/2025,chennai,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,6,534,100,53,1,54
9/14/2025,hyderabad,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,16,1456,100,50,29,79
9/15/2025,chennai,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,13,1183,107,49,5,54
9/21/2025,mumbai,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,6,546,60,43,51,94
9/9/2025,bangalore,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,22,2002,292,136,22,158
9/11/2025,hyderabad,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,7,637,94,46,33,79
9/17/2025,bangalore,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,17,1547,311,124,34,158
9/15/2025,mumbai,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,5,455,43,31,63,94
9/21/2025,bangalore,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,21,1911,322,139,19,158
9/17/2025,mumbai,SKU5,Nail Clipper,Hygiene,6,1008,129,68,26,94
9/23/2025,mumbai,SKU5,Nail Clipper,Hygiene,10,1540,124,61,33,94
9/22/2025,hyderabad,SKU5,Nail Clipper,Hygiene,12,1956,216,76,3,79
9/12/2025,bangalore,SKU7,Baby Bottle & Nipple Brush,Feeding Essentials,21,3969,338,145,13,158
9/25/2025,chennai,SKU7,Baby Bottle & Nipple Brush,Feeding Essentials,3,510,156,51,3,54
9/19/2025,chennai,SKU7,Baby Bottle & Nipple Brush,Feeding Essentials,8,1560,144,51,3,54
9/13/2025,chennai,SKU7,Baby Bottle & Nipple Brush,Feeding Essentials,9,1755,131,53,1,54
9/10/2025,chennai,SKU7,Baby Bottle & Nipple Brush,Feeding Essentials,8,1536,118,51,3,54
9/24/2025,bangalore,SKU7,Baby Bottle & Nipple Brush,Feeding Essentials,24,4008,407,146,12,158
9/3/2025,bangalore,SKU7,Baby Bottle & Nipple Brush,Feeding Essentials,24,4464,324,148,10,158
9/17/2025,chennai,SKU10,Anti-Bacterial Baby Liquid Cleanser,Hygiene,4,796,124,42,12,54
9/26/2025,chennai,SKU10,Anti-Bacterial Baby Liquid Cleanser,Hygiene,0,0,116,41,13,54
9/25/2025,mumbai,SKU10,Anti-Bacterial Baby Liquid Cleanser,Hygiene,10,1990,150,71,23,94
9/1/2025,chennai,SKU10,Anti-Bacterial Baby Liquid Cleanser,Hygiene,6,1128,63,41,13,54
9/22/2025,delhi,SKU10,Anti-Bacterial Baby Liquid Cleanser,Hygiene,36,7164,182,107,41,148
9/18/2025,hyderabad,SKU10,Anti-Bacterial Baby Liquid Cleanser,Hygiene,17,3383,146,65,14,79
9/12/2025,bangalore,SKU10,Anti-Bacterial Baby Liquid Cleanser,Hygiene,20,3920,255,137,21,158
9/11/2025,hyderabad,SKU10,Anti-Bacterial Baby Liquid Cleanser,Hygiene,6,1176,42,28,51,79
9/9/2025,chennai,SKU10,Anti-Bacterial Baby Liquid Cleanser,Hygiene,4,784,53,39,15,54
9/9/2025,hyderabad,SKU10,Anti-Bacterial Baby Liquid Cleanser,Hygiene,9,1764,58,35,44,79
9/16/2025,bangalore,SKU10,Anti-Bacterial Baby Liquid Cleanser,Hygiene,19,3781,293,139,19,158
9/10/2025,bangalore,SKU9,Anti-Bacterial Baby Liquid Cleanser (Refill),Hygiene,7,1610,216,138,20,158
9/9/2025,hyderabad,SKU9,Anti-Bacterial Baby Liquid Cleanser (Refill),Hygiene,6,1380,50,36,43,79
9/13/2025,delhi,SKU9,Anti-Bacterial Baby Liquid Cleanser (Refill),Hygiene,28,5544,132,87,61,148
9/10/2025,chennai,SKU2,Caring Baby Wipes with Aloe Vera - Pack of 3,Baby Wipes,23,4715,102,45,9,54
9/3/2025,delhi,SKU2,Caring Baby Wipes with Aloe Vera - Pack of 3,Baby Wipes,93,18414,465,139,9,148
9/21/2025,mumbai,SKU2,Caring Baby Wipes with Aloe Vera - Pack of 3,Baby Wipes,76,15124,195,69,25,94
9/10/2025,bangalore,SKU2,Caring Baby Wipes with Aloe Vera - Pack of 3,Baby Wipes,76,15580,732,155,3,158
9/25/2025,bangalore,SKU2,Caring Baby Wipes with Aloe Vera - Pack of 3,Baby Wipes,89,17711,895,154,4,158
9/1/2025,mumbai,SKU2,Caring Baby Wipes with Aloe Vera - Pack of 3,Baby Wipes,65,13065,190,66,28,94
9/5/2025,hyderabad,SKU2,Caring Baby Wipes with Aloe Vera - Pack of 3,Baby Wipes,32,6432,205,57,22,79
9/17/2025,delhi,SKU2,Caring Baby Wipes with Aloe Vera - Pack of 3,Baby Wipes,95,18905,487,141,7,148
9/6/2025,delhi,SKU2,Caring Baby Wipes with Aloe Vera - Pack of 3,Baby Wipes,94,18612,350,127,21,148
9/18/2025,delhi,SKU2,Caring Baby Wipes with Aloe Vera - Pack of 3,Baby Wipes,104,20696,472,143,5,148
9/13/2025,bangalore,SKU2,Caring Baby Wipes with Aloe Vera - Pack of 3,Baby Wipes,89,17711,643,150,8,158
9/20/2025,chennai,SKU1,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free,Baby Wipes,0,0,0,0,54,54
9/12/2025,hyderabad,SKU1,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free,Baby Wipes,16,3328,190,50,29,79
9/9/2025,mumbai,SKU1,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free,Baby Wipes,37,7696,108,51,43,94
9/9/2025,chennai,SKU1,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free,Baby Wipes,0,0,0,0,54,54
9/22/2025,delhi,SKU1,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free,Baby Wipes,55,10945,322,131,17,148
9/4/2025,hyderabad,SKU1,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free,Baby Wipes,34,6800,210,62,17,79
9/6/2025,bangalore,SKU1,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free,Baby Wipes,23,4600,313,142,16,158
9/16/2025,mumbai,SKU1,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free,Baby Wipes,66,13134,270,77,17,94
9/6/2025,mumbai,SKU1,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free,Baby Wipes,58,11600,230,85,9,94
